not_null_pos_columns,count
[],1597
['score4_pos'],311
['score3_pos'],309
['score1_pos'],292
['score2_pos'],287
['score5_pos'],278
"['score1_pos', 'score5_pos']",140
"['score3_pos', 'score5_pos']",139
"['score4_pos', 'score5_pos']",132
"['score1_pos', 'score2_pos']",129
"['score2_pos', 'score3_pos']",123
"['score3_pos', 'score4_pos']",120
"['score2_pos', 'score5_pos']",119
"['score1_pos', 'score4_pos']",118
"['score2_pos', 'score4_pos']",115
"['score1_pos', 'score3_pos']",111
"['score3_pos', 'score4_pos', 'score5_pos']",66
"['score1_pos', 'score2_pos', 'score5_pos']",64
"['score1_pos', 'score2_pos', 'score3_pos']",64
"['score1_pos', 'score3_pos', 'score4_pos']",61
"['score2_pos', 'score3_pos', 'score4_pos']",56
"['score1_pos', 'score3_pos', 'score5_pos']",56
"['score2_pos', 'score4_pos', 'score5_pos']",52
"['score1_pos', 'score2_pos', 'score4_pos']",46
"['score2_pos', 'score3_pos', 'score5_pos']",45
"['score1_pos', 'score4_pos', 'score5_pos']",39
"['score1_pos', 'score2_pos', 'score3_pos', 'score4_pos']",29
"['score2_pos', 'score3_pos', 'score4_pos', 'score5_pos']",26
"['score1_pos', 'score2_pos', 'score3_pos', 'score5_pos']",24
"['score1_pos', 'score3_pos', 'score4_pos', 'score5_pos']",22
"['score1_pos', 'score2_pos', 'score4_pos', 'score5_pos']",20
"['score1_pos', 'score2_pos', 'score3_pos', 'score4_pos', 'score5_pos']",10
